slide,unit,level_id
"['backend/grammar/A22/A22_slide1.png', 'backend/grammar/A22/A22_slide2.png', 'backend/grammar/A22/A22_slide3.png', 'backend/grammar/A22/A22_slide4.png']",A22,1
"['backend/grammar/C02/C02_slide1.png', 'backend/grammar/C02/C02_slide2.png', 'backend/grammar/C02/C02_slide3.png', 'backend/grammar/C02/C02_slide4.png', 'backend/grammar/C02/C02_slide5.png', 'backend/grammar/C02/C02_slide6.png', 'backend/grammar/C02/C02_slide7.png', 'backend/grammar/C02/C02_slide8.png', 'backend/grammar/C02/C02_slide9.png', 'backend/grammar/C02/C02_slide10.png', 'backend/grammar/C02/C02_slide11.png', 'backend/grammar/C02/C02_slide12.png']",C02,2
