word,pos,meaning,level_id
scream,verb/noun,尖叫；尖叫聲,2
screen,noun,螢幕,1
screen,verb,遮擋、檢查、放映,1
screw,verb/noun,用螺絲固定、旋；螺絲,2
scrub,verb/noun,刷洗,2
sculpture,noun,雕刻品、雕刻術,2
sea,noun,海洋,1
seafood,noun,海鮮,2
seagull,noun,海鷗,2
seal,verb/noun,蓋章、密封；印章、封條,2
search,noun/verb,搜尋,1
seaside,noun,海邊,2
season,verb,調味,2
season,noun,季節,1
seat,noun/verb,座位；使就座,1
second,noun,第二位；秒,1
second,adj./adv.,第二的；居第二位,1
second-hand,adj./adv.,舊的、二手的；二手地、間接地,2
secondary,adj.,次要的,2
secret,adj./noun,秘密的；秘密,1
