word,pos,meaning,level_id
join,verb,參加,1
joint,noun,接點,1
joint,adj.,共同的,1
joke,noun/verb,玩笑；開玩笑,1
journal,noun,報刊雜誌、日記,2
journalist,noun,新聞記者,1
journey,noun/verb,旅行,2
joy,noun,歡樂,1
joyful,adj.,令人愉快的,2
judge,noun,法官,1
judge,verb,判斷,1
judgment,noun,判斷、審判,2
juice,noun,果汁,1
juicy,adj.,多汁的,2
July,noun,七月,1
jump,verb/noun,跳,1
June,noun,六月,1
jungle,noun,叢林,2
junior,adj./noun,較年輕的、資淺的、（四年制中學或大學）三年級的；後輩、資淺者、（四年制中學或大學的）三年級學生,2
junior high school,noun,國中、國民中學,1
